Timestamp,Event_Type,Activation_Operation,Network,Protocol,External_ID,Bandwidth_bps,Raw_Log
2026-09-07 15:14:20,started,,24.192.13.246/32,UDP,kentik_63796,0,"2026-09-07 15:14:20,714 | INFO  | [DFC00701] Protected object (null): attack started on network 24.192.13.246/32 protocol UDP external ID kentik_63796 bandwidth 0(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 15:49:35,started,,24.35.29.208/32,UDP,kentik_63797,0,"2026-09-07 15:49:35,154 | INFO  | [DFC00701] Protected object (null): attack started on network 24.35.29.208/32 protocol UDP external ID kentik_63797 bandwidth 0(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 15:51:50,ended,,50.4.255.170/32,N,kentik_63794,,"2026-09-07 15:51:50,969 | INFO  | [DFC00703] Protected object (null): attack ended on network 50.4.255.170/32 protocol N/A external ID kentik_63794 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
2026-09-07 15:51:51,ended,,50.4.255.170/32,N,kentik_63794,,"2026-09-07 15:51:51,795 | INFO  | [DFC00703] Protected object (null): attack ended on network 50.4.255.170/32 protocol N/A external ID kentik_63794 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
2026-09-07 15:55:06,ended,,24.192.13.246/32,N,kentik_63796,,"2026-09-07 15:55:06,306 | INFO  | [DFC00703] Protected object (null): attack ended on network 24.192.13.246/32 protocol N/A external ID kentik_63796 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
2026-09-07 15:55:06,started,,50.4.75.179/32,UDP,kentik_63798,0,"2026-09-07 15:55:06,745 | INFO  | [DFC00701] Protected object (null): attack started on network 50.4.75.179/32 protocol UDP external ID kentik_63798 bandwidth 0(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 15:55:07,ended,,24.192.13.246/32,N,kentik_63796,,"2026-09-07 15:55:07,392 | INFO  | [DFC00703] Protected object (null): attack ended on network 24.192.13.246/32 protocol N/A external ID kentik_63796 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
2026-09-07 16:01:21,started,,69.1.25.49/32,UDP,kentik_63799,0,"2026-09-07 16:01:21,627 | INFO  | [DFC00701] Protected object (null): attack started on network 69.1.25.49/32 protocol UDP external ID kentik_63799 bandwidth 0(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 16:01:22,started,,69.1.25.49/32,UDP,kentik_63799,0,"2026-09-07 16:01:22,705 | INFO  | [DFC00701] Protected object (null): attack started on network 69.1.25.49/32 protocol UDP external ID kentik_63799 bandwidth 0(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 16:01:37,ended,,76.73.168.110/32,N,kentik_63795,,"2026-09-07 16:01:37,530 | INFO  | [DFC00703] Protected object (null): attack ended on network 76.73.168.110/32 protocol N/A external ID kentik_63795 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
2026-09-07 16:08:37,started,,143.59.170.144/32,UDP,kentik_63800,0,"2026-09-07 16:08:37,910 | INFO  | [DFC00701] Protected object (null): attack started on network 143.59.170.144/32 protocol UDP external ID kentik_63800 bandwidth 0(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 16:11:53,started,,24.192.221.213/32,UDP,kentik_63801,0,"2026-09-07 16:11:53,129 | INFO  | [DFC00701] Protected object (null): attack started on network 24.192.221.213/32 protocol UDP external ID kentik_63801 bandwidth 0(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 16:11:54,started,,24.192.221.213/32,UDP,kentik_63801,0,"2026-09-07 16:11:54,148 | INFO  | [DFC00701] Protected object (null): attack started on network 24.192.221.213/32 protocol UDP external ID kentik_63801 bandwidth 0(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 16:15:09,started,,23.28.117.39/32,UDP,kentik_63802,0,"2026-09-07 16:15:09,488 | INFO  | [DFC00701] Protected object (null): attack started on network 23.28.117.39/32 protocol UDP external ID kentik_63802 bandwidth 0(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 16:15:10,started,,23.28.117.39/32,UDP,kentik_63802,0,"2026-09-07 16:15:10,464 | INFO  | [DFC00701] Protected object (null): attack started on network 23.28.117.39/32 protocol UDP external ID kentik_63802 bandwidth 0(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 16:29:24,started,,72.15.112.95/32,UDP,kentik_63803,0,"2026-09-07 16:29:24,437 | INFO  | [DFC00701] Protected object (null): attack started on network 72.15.112.95/32 protocol UDP external ID kentik_63803 bandwidth 0(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 16:29:25,started,,72.15.112.95/32,UDP,kentik_63803,0,"2026-09-07 16:29:25,378 | INFO  | [DFC00701] Protected object (null): attack started on network 72.15.112.95/32 protocol UDP external ID kentik_63803 bandwidth 0(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 16:31:40,ended,,24.35.29.208/32,N,kentik_63797,,"2026-09-07 16:31:40,481 | INFO  | [DFC00703] Protected object (null): attack ended on network 24.35.29.208/32 protocol N/A external ID kentik_63797 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
2026-09-07 16:38:55,ended,,50.4.75.179/32,N,kentik_63798,,"2026-09-07 16:38:55,739 | INFO  | [DFC00703] Protected object (null): attack ended on network 50.4.75.179/32 protocol N/A external ID kentik_63798 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
2026-09-07 16:48:10,started,,24.192.6.78/32,UDP,kentik_63804,0,"2026-09-07 16:48:10,983 | INFO  | [DFC00701] Protected object (null): attack started on network 24.192.6.78/32 protocol UDP external ID kentik_63804 bandwidth 0(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 16:48:11,started,,24.192.6.78/32,UDP,kentik_63804,0,"2026-09-07 16:48:11,882 | INFO  | [DFC00701] Protected object (null): attack started on network 24.192.6.78/32 protocol UDP external ID kentik_63804 bandwidth 0(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 16:50:26,ended,,69.1.25.49/32,N,kentik_63799,,"2026-09-07 16:50:26,931 | INFO  | [DFC00703] Protected object (null): attack ended on network 69.1.25.49/32 protocol N/A external ID kentik_63799 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
2026-09-07 16:50:27,ended,,143.59.170.144/32,N,kentik_63800,,"2026-09-07 16:50:27,301 | INFO  | [DFC00703] Protected object (null): attack ended on network 143.59.170.144/32 protocol N/A external ID kentik_63800 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
2026-09-07 16:50:27,ended,,69.1.25.49/32,N,kentik_63799,,"2026-09-07 16:50:27,823 | INFO  | [DFC00703] Protected object (null): attack ended on network 69.1.25.49/32 protocol N/A external ID kentik_63799 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
2026-09-07 16:52:42,ended,,24.192.221.213/32,N,kentik_63801,,"2026-09-07 16:52:42,888 | INFO  | [DFC00703] Protected object (null): attack ended on network 24.192.221.213/32 protocol N/A external ID kentik_63801 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
