Attack Window Start,Attack Window End,Duration (mins),Destination IP,# Events,Peak pps,Peak bps,Threat Categories,Vectors (Attack Names),Protocols Seen,Dest Ports,Total Packets Dropped,Devices Involved,Policies,Max Risk
2026-09-04 22:54:04,2026-09-04 23:29:15,35.18,143.59.170.70,168,1181.0,14478336.0,BehavioralDOS,network flood IPv4 UDP,UDP,37600,983911,10.21.112.34,WOW-RESIDENTAL-2_2@00931b-00004-0,High
2026-09-04 23:16:01,2026-09-04 23:16:16,0.25,24.214.222.56,1,0.0,0.0,BehavioralDOS,network flood IPv4 UDP,UDP,Multiple/Unknown,345,10.21.58.210,WOW-RESIDENTAL-1_2@00931f-00003-0,High
2026-09-05 12:09:23,2026-09-05 12:11:44,2.35,24.214.224.91,12,1080.0,12100608.0,BehavioralDOS,network flood IPv4 UDP,UDP,40945,104637,10.21.58.210,WOW-RESIDENTAL-1_1@009339-00003-0,High
2026-09-05 15:41:47,2026-09-05 15:42:21,0.57,143.59.171.38,3,142.0,633856.0,BehavioralDOS,network flood IPv4 UDP,UDP,Multiple/Unknown,5852,10.21.112.34,WOW-RESIDENTAL-2_1@00934e-00004-0,High
2026-09-05 16:11:21,2026-09-05 16:14:30,3.15,143.59.171.38,6,149.0,1119232.0,BehavioralDOS,network flood IPv4 UDP,UDP,5277,8829,10.98.221.234,WOW-RESIDENTAL-2_1@00934e-00004-0,High
2026-09-05 16:11:51,2026-09-05 16:13:43,1.87,143.59.71.152,11,1935.0,17813504.0,BehavioralDOS,network flood IPv4 UDP,UDP,3886,197567,10.21.58.210,WOW-RESIDENTAL-1_1@009356-00003-0,High
2026-09-05 16:12:20,2026-09-05 16:21:58,9.63,50.4.8.167,25,291.0,2284544.0,BehavioralDOS,network flood IPv4 UDP,UDP,43387,40973,10.21.58.210,WOW-RESIDENTAL-1_2@009350-00003-0,High
2026-09-05 17:14:27,2026-09-05 17:16:21,1.9,67.149.138.48,20,1009608.0,568359936.0,"BehavioralDOS, DOSShield",DOSS-DNS-Q-Malformed-FLAGS; DOSS-DNS-Q-Malformed-NS-AR; DOSS-DNS-Q-Malformed-QD-AN; DOSS-DNS-Q-Malformed-QUERY; DOSS-DNS-R-Malformed-QD-2; DOSS-DNSFlood; network flood IPv4 UDP,UDP,53,736680197,"10.21.112.34, 10.21.58.210, 10.98.221.234",WOW-RESIDENTAL-1_2@009360-00003-0,High
2026-09-05 19:41:36,2026-09-05 20:26:24,44.8,23.28.200.195,120,1110.0,10440704.0,BehavioralDOS,network flood IPv4 UDP,UDP,52999,1036491,10.21.112.34,WOW-RESIDENTAL-1_1@00936f-00003-0,High
2026-09-05 23:31:24,2026-09-05 23:31:29,0.08,24.214.98.74,1,0.0,0.0,Intrusions,Memcached-Server-Reflect,UDP,11211,1,10.21.58.210,WOW-RESIDENTAL-1_3@009373-00003-0,Medium
2026-09-05 23:43:20,2026-09-05 23:43:28,0.13,24.214.98.74,1,0.0,0.0,Intrusions,Memcached-Server-Reflect,UDP,11211,1,10.21.112.34,WOW-RESIDENTAL-1_3@009373-00003-0,Medium
2026-09-06 00:36:40,2026-09-06 00:36:58,0.3,143.59.233.191,2,473.0,5714944.0,BehavioralDOS,network flood IPv4 UDP,UDP,39234,10817,10.21.58.210,WOW-RESIDENTAL-1_2@009381-00003-0,High
2026-09-06 00:58:21,2026-09-06 00:58:29,0.13,143.59.233.191,1,2.0,3072.0,BehavioralDOS,network flood IPv4 UDP,UDP,Multiple/Unknown,35,10.21.58.210,WOW-RESIDENTAL-1_2@009381-00003-0,High
2026-09-06 01:10:56,2026-09-06 01:11:10,0.23,143.59.233.191,1,3233.0,30074880.0,BehavioralDOS,network flood IPv4 UDP,UDP,Multiple/Unknown,48495,10.21.112.34,WOW-RESIDENTAL-1_2@009381-00003-0,High
2026-09-06 12:20:06,2026-09-06 12:25:19,5.22,24.214.81.117,20,413381.0,4539268096.0,"BehavioralDOS, DOSShield",DOSS-DNS-Ref-L4-Above-3000; DOSS-UDP-flood-80-Req; network flood IPv4 UDP-FRAG,UDP,80,90915036,"10.21.112.34, 10.21.58.210, 10.98.221.234",WOW-RESIDENTAL-1_3@0093a1-00003-0,High
2026-09-06 12:29:05,2026-09-06 12:30:54,1.82,24.96.86.82,14,205970.0,2264587264.0,"BehavioralDOS, DOSShield",DOSS-DNS-Ref-L4-Above-3000; DOSS-UDP-flood-80-Req; network flood IPv4 UDP-FRAG,UDP,80,38223683,"10.21.112.34, 10.21.58.210, 10.98.221.234",WOW-RESIDENTAL-1_4@0093a3-00003-0,High
2026-09-06 19:09:50,2026-09-06 19:10:28,0.63,68.179.185.252,3,963.0,7753728.0,BehavioralDOS,network flood IPv4 UDP,UDP,61599,29022,10.35.193.82,WOW-RESIDENTAL-2_4@0093cb-00004-0,High
2026-09-06 20:50:20,2026-09-06 20:53:35,3.25,24.236.91.22,9,460.0,5246976.0,BehavioralDOS,network flood IPv4 UDP,UDP,35130,39516,10.21.112.34,WOW-RESIDENTAL-1_3@0093d2-00003-0,High
2026-09-06 21:25:12,2026-09-06 21:27:09,1.95,23.28.253.108,9,179.0,1754112.0,BehavioralDOS,network flood IPv4 UDP,UDP,Multiple/Unknown,13520,10.21.58.210,WOW-RESIDENTAL-2_1@0093d4-00004-0,High
2026-09-06 22:29:39,2026-09-06 22:32:39,3.0,24.96.206.243,15,405339.0,4281976832.0,"BehavioralDOS, DOSShield, Intrusions",DDoS-UDP-MEMCACHED-AMP; DOSS-DNS-Ref-Above_30_Answers; DOSS-DNS-Ref-L4-Above-3000; DOSS-NTP-reflected-monlist; DOSS-SSDP-reflected; DOSS-UDP-flood-80-Req; DOSS-UDP-no-data; HTTP-MISC-DosTool-ExAttack; network flood IPv4 UDP-FRAG,UDP,80,98692388,"10.35.193.90, 10.98.221.234",WOW-RESIDENTAL-1_2@0093da-00003-0,High
2026-09-07 02:16:11,2026-09-07 02:16:32,0.35,207.98.190.105,2,0.0,0.0,Intrusions,Memcached-Server-Reflect,UDP,11211,2,"10.21.112.34, 10.21.58.210",WOW-RESIDENTAL-1_2@0093ee-00003-0,Medium
2026-09-07 09:45:41,2026-09-07 09:45:49,0.13,50.4.40.65,1,0.0,0.0,Intrusions,Memcached-Server-Reflect,UDP,11211,1,10.98.221.234,WOW-RESIDENTAL-2_3@0093f8-00004-0,Medium
2026-09-07 10:15:36,2026-09-07 10:28:37,13.02,24.35.60.40,61,5637.0,66758656.0,BehavioralDOS,network flood IPv4 UDP,UDP,50430,721919,10.21.112.34,WOW-RESIDENTAL-2_2@0093fb-00004-0,High
2026-09-07 11:16:40,2026-09-07 11:17:03,0.38,76.73.168.110,2,0.0,0.0,Intrusions,Memcached-Server-Reflect,UDP,11211,2,"10.21.112.34, 10.21.58.210",WOW-RESIDENTAL-2_1@009400-00004-0,Medium
2026-09-07 15:45:14,2026-09-07 16:19:34,34.33,24.96.10.2,5,13784.0,91204608.0,BehavioralDOS,network flood IPv4 UDP-FRAG,UDP,Multiple/Unknown,3241388,10.98.221.234,WOW-RESIDENTAL-2_3@009428-00004-0,High
2026-09-07 16:30:02,2026-09-07 17:07:24,37.37,24.96.10.2,11,7396.0,48964608.0,BehavioralDOS,network flood IPv4 UDP-FRAG,UDP,Multiple/Unknown,2617902,10.98.221.234,WOW-RESIDENTAL-2_3@009428-00004-0,High
